Feature,Importance,Rank
total_revolving_bal,0.2677827,1
total_trans_ct,0.22937465,2
total_relationship_count,0.097399965,3
total_ct_chng_q4_q1,0.06513375,4
total_trans_amt,0.050945796,5
onehotencoder__gender_M,0.049487967,6
months_inactive_12_mon,0.038388286,7
customer_age,0.035950724,8
total_amt_chng_q4_q1,0.033203363,9
credit_limit,0.029598467,10
contacts_count_12_mon,0.024547959,11
avg_utilization_ratio,0.020044947,12
onehotencoder__marital_status_Married,0.018253796,13
dependent_count,0.017762413,14
months_on_book,0.013533965,15
income_category,0.008591256,16
education_level,0.0,18
card_category,0.0,18
onehotencoder__marital_status_Single,0.0,18
onehotencoder__marital_status_Unknown,0.0,18
